trial,ts_iso,compute_s,auth_s,cpu_percent,mem_percent
259,2025-10-21T15:33:14,0.001163,0.017393,31.2,43.1
260,2025-10-21T15:33:14,0.001302,0.018334,12.5,43.1
261,2025-10-21T15:33:14,0.001181,0.018814,66.7,43.1
262,2025-10-21T15:33:14,0.001041,0.018297,16.7,43.1
263,2025-10-21T15:33:14,0.00138,0.018841,23.5,43.1
264,2025-10-21T15:33:14,0.001355,0.021162,37.5,43.1
265,2025-10-21T15:33:14,0.001071,0.020388,17.6,43.1
266,2025-10-21T15:33:14,0.001488,0.020165,50.0,43.1
267,2025-10-21T15:33:14,0.001079,0.019874,12.5,43.1
268,2025-10-21T15:33:14,0.001133,0.01815,18.8,43.1
269,2025-10-21T15:33:14,0.000989,0.018407,24.0,43.1
270,2025-10-21T15:33:14,0.001005,0.018361,17.4,43.1
271,2025-10-21T15:33:14,0.000899,0.017326,11.8,43.1
272,2025-10-21T15:33:14,0.000985,0.01818,41.2,43.1
273,2025-10-21T15:33:14,0.001263,0.019541,33.3,43.1
274,2025-10-21T15:33:14,0.000987,0.018655,4.8,43.1
275,2025-10-21T15:33:14,0.000905,0.018915,6.2,43.1
276,2025-10-21T15:33:14,0.001247,0.018791,41.2,43.1
277,2025-10-21T15:33:14,0.001071,0.018136,50.0,43.1
278,2025-10-21T15:33:14,0.001101,0.019,12.5,43.1
279,2025-10-21T15:33:14,0.001425,0.018516,25.0,43.1
280,2025-10-21T15:33:14,0.001074,0.017653,28.6,43.1
281,2025-10-21T15:33:14,0.001,0.017898,14.3,43.1
282,2025-10-21T15:33:14,0.001005,0.018249,12.5,43.1
283,2025-10-21T15:33:14,0.001318,0.01866,47.1,43.1
284,2025-10-21T15:33:14,0.001233,0.019348,32.3,43.1
285,2025-10-21T15:33:14,0.001059,0.018875,23.5,43.1
286,2025-10-21T15:33:14,0.00116,0.018615,43.8,43.1
287,2025-10-21T15:33:14,0.001043,0.01791,37.5,43.1
288,2025-10-21T15:33:14,0.001252,0.017568,54.5,43.1
289,2025-10-21T15:33:14,0.000952,0.01797,25.0,43.1
290,2025-10-21T15:33:14,0.001167,0.01791,56.2,43.1
291,2025-10-21T15:33:14,0.001138,0.017653,100.0,43.1
292,2025-10-21T15:33:14,0.001118,0.01802,41.9,43.1
293,2025-10-21T15:33:14,0.001091,0.017994,5.9,43.1
294,2025-10-21T15:33:14,0.001049,0.018912,88.2,43.1
295,2025-10-21T15:33:14,0.001417,0.018979,43.8,43.1
296,2025-10-21T15:33:14,0.001203,0.019408,12.1,43.1
297,2025-10-21T15:33:14,0.001068,0.018728,6.2,43.1
298,2025-10-21T15:33:14,0.001159,0.018983,50.0,43.1
299,2025-10-21T15:33:14,0.001054,0.017389,78.1,43.1
300,2025-10-21T15:33:14,0.001082,0.018881,43.8,43.1
